Ticket,Open Time,Type,Volume,Item,Price,S / L,T / P,Close Time,Price,Commission,Taxes,Swap,Profit
41163460,2023.12.22 16:49:01,sell,0.01,eurusd,1.10103,0,1.10057,2023.12.22 17:07:17,1.10057,-0.1,0,0,0.46
41163478,2023.12.22 16:50:03,buy,0.04,eurusd,1.10083,0,1.10218,2023.12.25 23:29:09,1.10216,-0.4,0,-0.87,5.32
41163497,2023.12.22 16:52:01,sell,0.01,eurusd,1.10114,0,1.10057,2023.12.22 17:07:17,1.10057,-0.1,0,0,0.57
41163529,2023.12.22 16:58:09,buy,0.04,eurusd,1.10081,0,1.10218,2023.12.25 23:29:09,1.10217,-0.4,0,-0.87,5.44
41163543,2023.12.22 16:59:06,buy,0.04,eurusd,1.1007,0,1.10218,2023.12.25 23:29:09,1.10217,-0.4,0,-0.87,5.88
41163565,2023.12.22 17:03:01,buy,0.05,eurusd,1.10067,0,1.10218,2023.12.25 23:29:17,1.10219,-0.5,0,-1.09,7.6
41163593,2023.12.22 17:08:02,sell,0.01,eurusd,1.10045,0,1.10088,2023.12.22 19:05:19,1.10087,-0.1,0,0,-0.42
41163598,2023.12.22 17:08:03,buy,0.05,eurusd,1.10045,0,1.10218,2023.12.25 23:29:17,1.10219,-0.5,0,-1.09,8.7
41163625,2023.12.22 17:09:07,buy,0.05,eurusd,1.1003,0,1.10218,2023.12.25 23:29:17,1.10219,-0.5,0,-1.09,9.45
41163643,2023.12.22 17:10:06,buy,0.05,eurusd,1.10025,0,1.10218,2023.12.25 23:29:17,1.10219,-0.5,0,-1.09,9.7
41163664,2023.12.22 17:13:03,sell,0.01,eurusd,1.10051,0,1.10088,2023.12.22 19:05:19,1.10087,-0.1,0,0,-0.36
41163679,2023.12.22 17:14:02,sell,0.01,eurusd,1.10052,0,1.10088,2023.12.22 19:05:19,1.10087,-0.1,0,0,-0.35
41163697,2023.12.22 17:15:04,sell,0.01,eurusd,1.10058,0,1.10088,2023.12.22 19:05:19,1.10086,-0.1,0,0,-0.28
41163711,2023.12.22 17:16:02,sell,0.01,eurusd,1.10063,0,1.10088,2023.12.22 19:05:19,1.10087,-0.1,0,0,-0.24
41163731,2023.12.22 17:18:02,sell,0.01,eurusd,1.1007,0,1.10088,2023.12.22 19:05:19,1.10086,-0.1,0,0,-0.16
41163747,2023.12.22 17:19:03,sell,0.01,eurusd,1.10083,0,1.10088,2023.12.22 19:05:19,1.10086,-0.1,0,0,-0.03
41163761,2023.12.22 17:20:03,sell,0.01,eurusd,1.10094,0,1.10088,2023.12.22 19:05:19,1.10086,-0.1,0,0,0.08
41163779,2023.12.22 17:21:11,sell,0.01,eurusd,1.1012,0,1.10088,2023.12.22 19:05:19,1.10086,-0.1,0,0,0.34
41163826,2023.12.22 17:36:03,sell,0.01,eurusd,1.10132,0,1.10088,2023.12.22 19:05:19,1.10087,-0.1,0,0,0.45
41163843,2023.12.22 17:37:02,sell,0.02,eurusd,1.10147,0,1.10088,2023.12.22 19:05:19,1.10087,-0.2,0,0,1.2
41163883,2023.12.22 17:49:10,sell,0.02,eurusd,1.10164,0,1.10088,2023.12.22 19:05:19,1.10086,-0.2,0,0,1.56
41163952,2023.12.22 18:12:15,sell,0.02,eurusd,1.10169,0,1.10088,2023.12.22 19:05:19,1.10086,-0.2,0,0,1.66
41163968,2023.12.22 18:14:13,sell,0.02,eurusd,1.10173,0,1.10088,2023.12.22 19:05:19,1.10086,-0.2,0,0,1.74
41163984,2023.12.22 18:16:03,sell,0.02,eurusd,1.10174,0,1.10088,2023.12.22 19:05:19,1.10086,-0.2,0,0,1.76
41164011,2023.12.22 18:21:05,sell,0.02,eurusd,1.10174,0,1.10088,2023.12.22 19:05:19,1.10086,-0.2,0,0,1.76
41164028,2023.12.22 18:22:03,sell,0.02,eurusd,1.10175,0,1.10088,2023.12.22 19:05:19,1.10086,-0.2,0,0,1.78
41164045,2023.12.22 18:23:06,sell,0.02,eurusd,1.10184,0,1.10088,2023.12.22 19:05:19,1.10086,-0.2,0,0,1.96
41164073,2023.12.22 18:31:04,sell,0.02,eurusd,1.1019,0,1.10088,2023.12.22 19:05:19,1.10086,-0.2,0,0,2.08
41164165,2023.12.22 19:06:06,sell,0.01,eurusd,1.10065,0,1.10025,2023.12.22 19:32:09,1.10024,-0.1,0,0,0.41
41164181,2023.12.22 19:07:02,sell,0.01,eurusd,1.10084,0,1.10025,2023.12.22 19:32:09,1.10024,-0.1,0,0,0.6
41164306,2023.12.22 19:43:02,sell,0.01,eurusd,1.10084,0,1.10201,2023.12.26 08:47:33,1.10201,-0.1,0,0.03,-1.17
41164322,2023.12.22 19:44:05,sell,0.01,eurusd,1.10085,0,1.10201,2023.12.26 08:47:33,1.10201,-0.1,0,0.03,-1.16
41164337,2023.12.22 19:45:07,sell,0.01,eurusd,1.1009,0,1.10201,2023.12.26 08:47:33,1.10201,-0.1,0,0.03,-1.11
41164354,2023.12.22 19:46:04,sell,0.01,eurusd,1.10111,0,1.10201,2023.12.26 08:47:33,1.10201,-0.1,0,0.03,-0.9
41164370,2023.12.22 19:47:07,sell,0.01,eurusd,1.10123,0,1.10201,2023.12.26 08:47:33,1.10201,-0.1,0,0.03,-0.78
41164398,2023.12.22 19:53:02,sell,0.01,eurusd,1.10123,0,1.10201,2023.12.26 08:47:33,1.10201,-0.1,0,0.03,-0.78
41164416,2023.12.22 19:56:07,sell,0.01,eurusd,1.10141,0,1.10201,2023.12.26 08:47:33,1.10201,-0.1,0,0.03,-0.6
41164434,2023.12.22 19:57:02,sell,0.01,eurusd,1.10146,0,1.10201,2023.12.26 08:47:33,1.10201,-0.1,0,0.03,-0.55
41164452,2023.12.22 19:58:03,sell,0.02,eurusd,1.10146,0,1.10201,2023.12.26 08:47:33,1.10201,-0.2,0,0.04,-1.1
41164479,2023.12.22 20:06:02,sell,0.02,eurusd,1.10146,0,1.10201,2023.12.26 08:47:33,1.10201,-0.2,0,0.04,-1.1
41164497,2023.12.22 20:07:02,sell,0.02,eurusd,1.10147,0,1.10201,2023.12.26 08:47:33,1.10201,-0.2,0,0.04,-1.08
41164513,2023.12.22 20:08:02,sell,0.02,eurusd,1.10149,0,1.10137,2023.12.26 08:49:29,1.10191,-0.2,0,0.04,-0.84
41164531,2023.12.22 20:09:05,sell,0.02,eurusd,1.10152,0,1.10201,2023.12.26 08:47:33,1.10201,-0.2,0,0.04,-0.98
41171809,2023.12.25 22:19:41,sell,0.02,eurusd,1.10178,0,1.10201,2023.12.26 08:47:33,1.10201,-0.2,0,0.01,-0.46
41171829,2023.12.25 22:22:00,sell,0.02,eurusd,1.10168,0,1.10201,2023.12.26 08:47:33,1.10201,-0.2,0,0.01,-0.66
41171935,2023.12.25 23:03:01,sell,0.02,eurusd,1.102,0,1.10188,2023.12.26 08:49:30,1.10191,-0.2,0,0.01,0.18
